ad_id,platform,brand,ad_format,creative_theme,cta_type,audience_segment,language,budget_daily_inr,bid_strategy,ad_copy_length_words,has_price_mention,has_offer_mention,has_expert_mention,has_urgency_words,has_emoji_in_copy,video_duration_seconds,days_active,month_launched,is_own_brand,impressions,clicks,installs,spent_inr,ctr,cpi_inr,d0_removal_rate,d1_retention_rate,d7_retention_rate,purchase_within_7d_rate,onboarding_completion_rate,avg_session_duration_seconds,install_quality_score
AD0001,YouTube_Shorts,Mylo_Ovaluna,Static_Image,Seasonal_Festival,Book_Free_Consult,Pregnant_Tri3,Tamil,1294.2,Lowest_Cost,25,0,1,0,0,0,0,37,Oct,1,1055649,785,63,1041.98,0.0007,16.54,0.2509,0.2107,0.1067,0.0061,0.5773,189.81,56.61
AD0002,Meta_Stories,Mylo_App,Video_15s,Problem_Solution,Sign_Up,Pregnant_Tri1,Hindi,2748.56,Target_CPA,19,1,0,1,0,1,15,23,Nov,1,2297129,1883,96,1771.67,0.0008,18.45,0.2264,0.1673,0.0703,0.007,0.4512,130.1,49.78
AD0003,Meta_Stories,MamEarth,Reels_Remix,Doctor_Expert,Sign_Up,New_Mom_3_6m,Tamil,4504.56,Max_Value,28,0,0,1,0,0,29,22,Nov,0,2168008,766,72,1383.82,0.0004,19.22,0.2278,0.2386,0.1064,0.0108,0.4146,211.31,62.41
AD0004,Google_Display,BabyChakra,Video_30s,Fear_Appeal,Swipe_Up,New_Mom_6_12m,Marathi,1314.37,Cost_Cap,15,1,1,1,1,0,30,36,Feb,0,1098810,882,42,819.21,0.0008,19.51,0.2791,0.1476,0.0767,0.018,0.5164,217.11,51.71
AD0005,Google_Search,Mylo_LactoMama,Carousel,Comparison_Ad,Book_Free_Consult,Retargeting_App_Inactive,Kannada,1124.89,Target_ROAS,13,1,0,1,0,0,0,45,Sep,1,328573,10555,1596,19654.79,0.0321,12.32,0.6824,0.133,0.02,0.0062,0.3235,135.39,30.56
AD0006,Google_Search,Mylo_App,Video_30s,Comparison_Ad,Get_Offer,Broad_Women_25_34,Hindi,968.2,Target_ROAS,10,0,0,1,0,1,30,32,Apr,1,330922,15635,2693,42983.5,0.0472,15.96,0.6605,0.1238,0.0511,0.0036,0.3604,96.98,27.41
AD0007,Google_Display,PharmEasy_Baby,Video_30s,Comparison_Ad,Get_Offer,TTC,Hindi,4732.44,Lowest_Cost,15,0,0,1,0,0,30,36,Apr,0,258739,12297,2644,33340.03,0.0475,12.61,0.5913,0.1273,0.0444,0.0032,0.4386,98.03,30.89
AD0008,Google_UAC,MamEarth,Static_Image,Fear_Appeal,Learn_More,TTC,Bengali,4855.69,Manual_CPC,11,0,0,0,1,0,0,22,Aug,0,199046,7954,1154,9699.03,0.04,8.4,0.7199,0.1636,0.0781,0.014,0.4728,85.81,28.08
AD0009,Google_UAC,MamEarth,Video_30s,Problem_Solution,Watch_More,TTC,Hinglish,2742.79,Target_ROAS,16,1,1,1,1,0,30,18,Jan,0,182133,1181,158,6220.77,0.0065,39.37,0.1209,0.4854,0.3594,0.071,0.8937,251.22,84.53
AD0010,Meta_Reels,Mylo_Ovaluna,Playable_Ad,Ingredient_Science,Get_Offer,Pregnant_Tri2,Hindi,6146.66,Max_Conversions,15,0,0,1,1,1,41,25,Apr,1,74308,845,122,5974.75,0.0114,48.97,0.145,0.5416,0.2413,0.1035,0.8301,254.0,82.61
AD0011,Google_Display,Mylo_DiapersApp,Stories_Poll,Problem_Solution,Install_Now,New_Mom_0_3m,Hindi,5769.58,Target_CPA,17,0,1,1,0,1,0,21,Feb,1,185024,1340,170,8927.71,0.0072,52.52,0.1302,0.4465,0.3288,0.0785,0.8182,366.75,80.95
AD0012,Google_Search,Mylo_LactoMama,Carousel,Ingredient_Science,Watch_More,New_Mom_0_3m,Telugu,716.72,Target_CPA,12,1,0,1,1,0,0,14,Sep,1,192701,2007,310,12728.19,0.0104,41.06,0.1016,0.5369,0.3515,0.1202,0.8838,269.41,87.92
AD0013,Meta_Reels,Mylo_Ovaluna,Reels_Remix,Discount_Offer,Watch_More,Broad_Women_25_34,Hinglish,6050.87,Cost_Cap,13,1,1,0,1,1,28,20,May,1,316931,8497,1129,12055.23,0.0268,10.68,0.4031,0.1829,0.052,0.0284,0.529,147.44,47.6
AD0014,Google_Search,Mylo_DiapersApp,Video_30s,Discount_Offer,Get_Offer,New_Mom_6_12m,Kannada,2135.55,Lowest_Cost,16,1,1,1,1,0,30,42,May,1,190115,3160,601,6262.31,0.0166,10.42,0.4629,0.1805,0.0991,0.0123,0.6059,103.31,41.96
AD0015,Meta_Feed,Healofy,Static_Image,Discount_Offer,Get_Offer,New_Mom_3_6m,Bengali,873.34,Max_Value,18,1,1,1,1,1,0,23,Sep,0,283470,5067,948,13824.25,0.0179,14.58,0.4542,0.2132,0.0769,0.016,0.5567,90.03,40.72
AD0016,Meta_Stories,Mylo_DiapersApp,Collection_Ad,Discount_Offer,Sign_Up,Toddler_Mom_1_2y,Marathi,3125.07,Cost_Cap,24,1,1,0,1,1,0,20,Nov,1,475498,8734,1251,11298.38,0.0184,9.03,0.4037,0.2189,0.0767,0.0254,0.5438,152.03,50.42
AD0017,Google_Display,Mylo_DiapersApp,Collection_Ad,Doctor_Expert,Watch_More,Pregnant_Tri3,Hinglish,4419.15,Lowest_Cost,11,1,0,1,1,0,0,12,Aug,1,156803,1516,252,7290.81,0.0097,28.93,0.176,0.4659,0.2796,0.0932,0.8008,319.67,84.93
AD0018,Google_UAC,MamEarth,Video_15s,Doctor_Expert,Swipe_Up,Toddler_Mom_1_2y,Telugu,4998.25,Manual_CPC,28,1,1,1,1,1,15,23,Apr,0,123040,890,140,2969.21,0.0072,21.21,0.1121,0.3998,0.2199,0.0628,0.7864,259.71,81.98
AD0019,Google_Display,Healofy,Static_Image,Doctor_Expert,Watch_More,New_Mom_6_12m,English,5633.23,Manual_CPC,26,1,1,1,1,1,0,39,Dec,0,162986,1065,182,4965.8,0.0065,27.28,0.1311,0.437,0.3038,0.0935,0.8545,330.34,86.66
AD0020,Google_UAC,PharmEasy_Baby,Static_Image,Doctor_Expert,Shop_Now,Pregnant_Tri1,Bengali,1270.98,Target_ROAS,13,0,1,1,1,0,0,26,Jul,0,145510,984,123,3327.72,0.0068,27.05,0.1599,0.3568,0.3237,0.0635,0.731,334.87,80.7
AD0021,Meta_Feed,Mylo_LactoMama,Video_30s,Problem_Solution,Shop_Now,Retargeting_App_Inactive,Hinglish,1893.2,Target_ROAS,11,0,1,1,1,0,30,12,Mar,1,1042,38,13,117.4,0.0365,9.03,0.1526,0.3963,0.313,0.1278,0.8511,279.67,79.18
AD0022,Meta_Reels,Mylo_Ovaluna,Video_60s,Comparison_Ad,Learn_More,Retargeting_App_Inactive,English,2550.58,Target_ROAS,19,0,1,0,1,1,60,28,Nov,1,3497,85,26,263.55,0.0243,10.14,0.1572,0.3805,0.297,0.1584,0.838,232.27,78.39
AD0023,YouTube_Shorts,HealthKart_Women,Video_60s,Emotional_Journey,Get_Offer,Retargeting_App_Inactive,Hindi,2137.52,Target_ROAS,15,1,1,1,0,1,60,36,Apr,0,3867,107,34,379.52,0.0277,11.16,0.1361,0.3814,0.2012,0.1953,0.7903,266.41,76.66
AD0024,Google_UAC,PharmEasy_Baby,Video_30s,Seasonal_Festival,Swipe_Up,Retargeting_App_Inactive,Marathi,3161.46,Lowest_Cost,10,1,0,1,0,1,30,35,Sep,0,2342,116,46,336.51,0.0495,7.32,0.1362,0.3806,0.2302,0.1209,0.8031,194.35,76.07
AD0025,Google_Display,Mylo_PregaPlus,Video_30s,Seasonal_Festival,Swipe_Up,New_Mom_0_3m,Malayalam,4060.58,Lowest_Cost,14,1,0,1,0,1,30,39,Nov,1,61931,2140,470,6240.08,0.0346,13.28,0.2002,0.3216,0.1491,0.0549,0.7604,206.94,67.42
AD0026,Google_UAC,BabyChakra,Video_15s,Seasonal_Festival,Book_Free_Consult,Lookalike_Purchasers,Marathi,1140.23,Lowest_Cost,20,1,0,0,0,0,15,10,Oct,0,196295,6084,1532,18943.4,0.031,12.37,0.2789,0.3086,0.138,0.0563,0.7216,218.85,63.44
AD0027,Google_UAC,Mylo_App,Playable_Ad,Seasonal_Festival,Shop_Now,Broad_Women_25_34,Hindi,6182.92,Cost_Cap,28,0,1,0,0,0,37,9,Oct,1,157090,4030,1085,10439.15,0.0257,9.62,0.217,0.299,0.1703,0.0382,0.7762,252.39,66.39
AD0028,Google_Search,HealthKart_Women,Video_30s,Seasonal_Festival,Learn_More,Broad_Women_18_24,Tamil,4368.19,Target_CPA,12,0,0,0,1,1,30,34,Nov,0,233430,5799,1147,13195.37,0.0248,11.5,0.259,0.2113,0.104,0.0373,0.7251,185.04,48.92
AD0029,Meta_Feed,Mylo_DiapersApp,Playable_Ad,Myth_Busting,Shop_Now,New_Mom_3_6m,Kannada,3936.29,Manual_CPC,13,1,1,1,0,1,35,10,Aug,1,29843,364,49,1274.4,0.0122,26.01,0.133,0.4232,0.2317,0.0873,0.8339,286.01,77.68
AD0030,Google_UAC,Mylo_Ovaluna,Reels_Remix,Discount_Offer,Sign_Up,New_Mom_0_3m,Bengali,5682.71,Manual_CPC,8,1,1,0,0,1,34,36,Nov,1,21340,249,37,998.53,0.0117,26.99,0.1438,0.4238,0.2134,0.0887,0.8052,248.72,76.49
AD0031,Meta_Reels,Mylo_App,Stories_Poll,Product_Demo,Watch_More,TTC,Bengali,6453.16,Lowest_Cost,22,0,0,1,1,1,0,35,Apr,1,17479,224,64,1351.38,0.0128,21.12,0.1879,0.4437,0.2304,0.0795,0.7781,332.11,75.71
AD0032,Google_Display,Mylo_App,Static_Image,Discount_Offer,Book_Free_Consult,Pregnant_Tri3,Bengali,5684.83,Target_ROAS,25,1,1,1,1,1,0,20,Oct,1,64099,1074,133,2454.44,0.0168,18.45,0.1473,0.4496,0.2419,0.0894,0.8309,298.24,78.55
AD0033,Meta_Reels,MamEarth,Static_Image,Celebrity_Endorsement,Sign_Up,Lookalike_Purchasers,Hindi,5738.85,Target_ROAS,11,1,0,1,0,1,0,9,Aug,0,1355793,13162,2393,63168.95,0.0097,26.4,0.3392,0.2652,0.1402,0.0106,0.5707,190.31,56.75
AD0034,Google_Search,MamEarth,Stories_Poll,Celebrity_Endorsement,Learn_More,Pregnant_Tri3,Telugu,6484.43,Max_Value,10,1,0,0,1,0,0,7,Jun,0,917690,8577,1412,32322.08,0.0093,22.89,0.2542,0.2212,0.1277,0.0082,0.548,182.66,57.14
AD0035,Google_UAC,HealthKart_Women,Video_30s,Celebrity_Endorsement,Install_Now,Pregnant_Tri3,Marathi,4309.32,Target_ROAS,16,0,1,1,0,0,30,42,May,0,1689840,21161,4410,130204.64,0.0125,29.52,0.2479,0.2185,0.1138,0.0088,0.6115,180.24,57.74
AD0036,YouTube_Shorts,Mylo_App,Static_Image,Celebrity_Endorsement,Watch_More,New_Mom_0_3m,English,3873.87,Max_Value,9,1,1,0,1,0,0,44,May,1,1086846,13070,2853,75152.16,0.012,26.34,0.2633,0.2241,0.1206,0.0148,0.5344,160.66,56.71
AD0037,YouTube_Shorts,Healofy,Playable_Ad,Problem_Solution,Install_Now,Retargeting_App_Inactive,Malayalam,5752.59,Target_CPA,24,1,0,1,1,1,15,12,Aug,0,27869,722,71,2558.98,0.0259,36.04,0.2669,0.2976,0.1767,0.0351,0.6785,239.07,63.44
AD0038,Meta_Feed,Mylo_App,Playable_Ad,Testimonial_Mom,Swipe_Up,New_Mom_3_6m,Telugu,3986.59,Manual_CPC,28,1,0,0,1,0,0,25,Oct,1,47015,1886,268,9844.02,0.0401,36.73,0.2163,0.229,0.094,0.0387,0.6687,209.26,60.07
AD0039,Meta_Feed,Mylo_DiapersApp,Playable_Ad,Doctor_Expert,Watch_More,Toddler_Mom_1_2y,Kannada,4506.44,Max_Value,25,1,0,1,1,0,0,31,May,1,22288,921,100,3020.74,0.0413,30.21,0.2941,0.2827,0.0899,0.0321,0.7071,257.78,65.9
AD0040,Meta_Stories,Mylo_LactoMama,Playable_Ad,Discount_Offer,Get_Offer,Pregnant_Tri1,Marathi,1004.62,Cost_Cap,28,0,0,1,0,0,0,9,Sep,1,45152,1734,197,5634.17,0.0384,28.6,0.1977,0.2881,0.0803,0.0365,0.6432,173.0,62.34
AD0041,Meta_Stories,Mylo_PregaPlus,Carousel,Fear_Appeal,Shop_Now,Pregnant_Tri2,English,2617.37,Manual_CPC,15,1,0,0,1,0,0,1,Sep,1,7165,59,17,358.17,0.0082,21.07,0.3631,0.1742,0.0455,0.0215,0.5873,172.7,50.14
AD0042,YouTube_Shorts,PharmEasy_Baby,Video_60s,Before_After,Shop_Now,TTC,Marathi,5576.16,Target_ROAS,11,1,1,0,0,1,60,2,Mar,0,38937,405,36,1077.29,0.0104,29.92,0.3543,0.1744,0.0724,0.0102,0.5814,168.22,50.87
AD0043,YouTube_Shorts,PharmEasy_Baby,Video_30s,UGC_Repost,Swipe_Up,Pregnant_Tri3,Bengali,2500.54,Target_ROAS,20,1,0,1,1,1,30,2,Nov,0,7399,35,6,103.83,0.0047,17.3,0.2935,0.2087,0.0868,0.0202,0.5549,144.93,53.16
AD0044,Meta_Stories,Mylo_Ovaluna,Collection_Ad,Emotional_Journey,Watch_More,Lookalike_Purchasers,English,6308.81,Max_Conversions,17,1,0,0,0,1,0,2,Sep,1,10529,114,15,287.49,0.0108,19.17,0.3401,0.1873,0.0837,0.0217,0.5752,144.54,50.89
AD0045,Google_Display,Mylo_App,Static_Image,Doctor_Expert,Book_Free_Consult,Retargeting_Cart_Abandon,Telugu,6025.3,Target_CPA,8,0,0,1,1,0,0,65,Jan,1,736251,3159,359,6980.31,0.0043,19.44,0.2405,0.1836,0.086,0.0382,0.6192,200.67,62.52
AD0046,Meta_Reels,Mylo_PregaPlus,Playable_Ad,Product_Demo,Learn_More,New_Mom_0_3m,Marathi,4454.73,Target_ROAS,27,1,1,1,0,0,33,91,May,1,732530,5129,433,7207.81,0.007,16.65,0.348,0.1477,0.0764,0.0384,0.6535,191.13,51.65
AD0047,Meta_Stories,BabyChakra,Carousel,Product_Demo,Swipe_Up,Retargeting_Cart_Abandon,Bengali,1512.95,Target_ROAS,25,0,1,0,1,0,0,80,Feb,0,783727,4369,556,12517.78,0.0056,22.51,0.2743,0.1561,0.0617,0.0197,0.6603,179.45,53.79
AD0048,Google_Search,BabyChakra,Carousel,UGC_Repost,Learn_More,Pregnant_Tri3,Bengali,4012.67,Max_Conversions,10,1,1,1,0,1,0,67,Nov,0,736379,4462,534,9725.85,0.0061,18.21,0.3446,0.2304,0.0718,0.0131,0.5512,143.88,51.58
AD0049,YouTube_Shorts,Mylo_Ovaluna,Video_30s,Celebrity_Endorsement,Swipe_Up,Toddler_Mom_1_2y,Marathi,4570.86,Max_Conversions,28,1,1,0,1,0,30,45,May,1,380074,3232,360,6157.47,0.0085,17.1,0.2542,0.1968,0.1832,0.0223,0.7142,226.98,60.18
AD0050,YouTube_Shorts,HealthKart_Women,Video_60s,UGC_Repost,Swipe_Up,Broad_Women_25_34,Malayalam,6223.1,Max_Value,9,1,0,1,1,0,60,11,Jun,0,114212,1432,165,2374.58,0.0125,14.39,0.2849,0.3089,0.1524,0.0383,0.6191,232.61,61.89
AD0051,YouTube_Shorts,Healofy,Video_30s,Fear_Appeal,Shop_Now,Retargeting_App_Inactive,Kannada,848.77,Lowest_Cost,25,1,1,1,0,1,30,14,Jun,0,413961,5913,791,12094.01,0.0143,15.29,0.2851,0.2002,0.1559,0.0393,0.6124,161.5,57.51
AD0052,YouTube_Shorts,PharmEasy_Baby,Video_15s,Fear_Appeal,Watch_More,Broad_Women_18_24,Kannada,560.29,Target_CPA,13,0,1,1,0,0,15,9,May,0,336175,5021,880,20096.4,0.0149,22.84,0.2045,0.2304,0.1766,0.0239,0.6216,164.6,51.82
AD0053,Google_Search,HealthKart_Women,Lead_Form,Seasonal_Festival,Sign_Up,TTC,Bengali,2654.01,Max_Value,15,1,1,1,0,0,15,35,Apr,0,136427,4028,775,13841.47,0.0295,17.86,0.3446,0.1082,0.0529,0.0129,0.4939,145.35,37.53
AD0054,Google_Search,HealthKart_Women,Lead_Form,Comparison_Ad,Sign_Up,TTC,Marathi,5738.41,Max_Conversions,11,0,1,0,0,1,15,14,Jul,0,64042,2183,317,5183.05,0.0341,16.35,0.4038,0.173,0.0549,0.0109,0.3873,110.89,32.42
AD0055,Meta_Feed,BabyChakra,Lead_Form,Product_Demo,Sign_Up,Pregnant_Tri1,Kannada,5237.85,Cost_Cap,9,1,1,0,1,1,30,10,Jan,0,107088,2320,316,4404.8,0.0217,13.94,0.3818,0.1328,0.0367,0.0093,0.3742,83.82,27.45
AD0056,Google_UAC,HealthKart_Women,Lead_Form,Testimonial_Mom,Sign_Up,Lookalike_Purchasers,Marathi,4060.27,Lowest_Cost,28,0,0,1,1,0,0,20,Oct,0,149200,3160,550,5373.79,0.0212,9.77,0.4165,0.0868,0.0616,0.0126,0.4979,124.33,31.89
AD0057,Google_UAC,MamEarth,Static_Image,Fear_Appeal,Watch_More,Retargeting_Cart_Abandon,Telugu,4971.27,Target_CPA,10,1,0,0,1,0,0,39,Jun,0,2134,106,39,424.51,0.0497,10.88,0.1083,0.3773,0.2362,0.2116,0.9132,194.44,80.37
AD0058,Meta_Reels,Mylo_LactoMama,Video_30s,Product_Demo,Sign_Up,Retargeting_Cart_Abandon,Malayalam,2859.26,Manual_CPC,25,1,1,0,0,1,30,8,Nov,1,3419,113,38,289.62,0.0331,7.62,0.102,0.416,0.3348,0.1739,0.8224,273.05,82.82
AD0059,Meta_Stories,PharmEasy_Baby,Video_60s,Celebrity_Endorsement,Learn_More,Retargeting_Cart_Abandon,Bengali,927.51,Max_Conversions,13,1,1,0,0,1,60,33,Oct,0,4190,125,44,312.81,0.0298,7.11,0.0734,0.4805,0.2623,0.2398,0.8329,307.6,85.92
AD0060,Meta_Feed,Mylo_Ovaluna,Collection_Ad,Emotional_Journey,Install_Now,Retargeting_Cart_Abandon,Hinglish,5584.45,Max_Value,22,0,0,0,0,1,0,41,Jan,1,1956,88,32,231.43,0.045,7.23,0.131,0.4361,0.2835,0.1798,0.8779,219.95,82.14
AD0061,Meta_Feed,Mylo_LactoMama,Video_15s,Before_After,Watch_More,Broad_Women_18_24,Hindi,2033.75,Target_CPA,22,0,1,1,0,0,15,33,Mar,1,878022,16789,2193,29986.19,0.0191,13.67,0.4951,0.1989,0.0634,0.0159,0.579,113.23,31.6
AD0062,Meta_Stories,Mylo_PregaPlus,Video_15s,Celebrity_Endorsement,Sign_Up,Broad_Women_18_24,Tamil,1184.24,Cost_Cap,12,0,1,0,1,1,15,40,Mar,1,771674,20177,2555,25971.66,0.0261,10.17,0.4999,0.1775,0.0563,0.0168,0.6282,95.9,28.9
AD0063,Meta_Stories,Mylo_Ovaluna,Lead_Form,Before_After,Sign_Up,Broad_Women_18_24,Malayalam,4320.75,Cost_Cap,12,1,0,0,0,1,0,25,Dec,1,366422,6425,1302,18572.35,0.0175,14.26,0.4769,0.14,0.0618,0.0137,0.5025,114.23,20.83
AD0064,Google_Display,Mylo_Ovaluna,Stories_Poll,Fear_Appeal,Install_Now,Broad_Women_18_24,Hinglish,1485.76,Max_Conversions,27,1,0,0,0,0,0,41,May,1,812759,12494,2670,29146.01,0.0154,10.92,0.4458,0.1598,0.0614,0.0101,0.6522,128.64,34.42
AD0065,YouTube_Shorts,Healofy,Video_15s,Product_Demo,Shop_Now,New_Mom_3_6m,Hinglish,1706.75,Max_Conversions,18,0,0,0,0,1,15,19,Jun,0,509491,7476,1485,31012.63,0.0147,20.88,0.1484,0.38,0.2471,0.065,0.7,310.35,73.57
AD0066,Meta_Feed,Healofy,Video_30s,Comparison_Ad,Learn_More,New_Mom_0_3m,English,3641.05,Manual_CPC,28,0,0,0,0,1,30,4,Feb,0,144582,1946,368,11569.42,0.0135,31.44,0.18,0.4026,0.2274,0.0594,0.7806,210.92,73.86
AD0067,Meta_Stories,BabyChakra,Video_60s,Problem_Solution,Shop_Now,Toddler_Mom_1_2y,Hinglish,617.7,Lowest_Cost,30,0,0,0,0,1,60,61,Mar,0,610268,7779,1532,31020.08,0.0127,20.25,0.2125,0.2067,0.0582,0.0532,0.72,168.9,59.32
AD0068,Meta_Stories,Mylo_Ovaluna,Playable_Ad,UGC_Repost,Watch_More,Broad_Women_25_34,Telugu,527.2,Target_CPA,28,0,0,0,0,0,38,64,Mar,1,69701,1719,288,9476.7,0.0247,32.91,0.2992,0.2056,0.154,0.0337,0.72,221.07,58.54
AD0069,Meta_Feed,PharmEasy_Baby,Video_15s,Problem_Solution,Watch_More,Broad_Women_25_34,Telugu,4960.53,Max_Conversions,14,0,0,0,0,0,15,41,Apr,0,26198,553,96,2295.62,0.0211,23.91,0.3211,0.3187,0.1891,0.0483,0.6922,202.86,63.25
AD0070,Google_Display,BabyChakra,Playable_Ad,Before_After,Watch_More,Pregnant_Tri2,Bengali,2153.03,Target_ROAS,16,0,0,0,0,0,39,33,Apr,0,37437,687,156,6191.46,0.0184,39.69,0.0982,0.416,0.1927,0.0742,0.7812,264.96,76.54
