platform,brand,ad_format,creative_theme,cta_type,audience_segment,language,has_offer,has_expert,d1,iqs,source_dataset,d7,d30,lift,platform_e,brand_e,ad_format_e,creative_theme_e,cta_type_e,audience_segment_e,language_e,source_dataset_e
YouTube_Shorts,Mylo_Ovaluna,Static_Image,Seasonal_Festival,Book_Free_Consult,Pregnant_Tri3,Tamil,1,0,0.2107,56.61,07,0.1240493299029242,0.06222823091704373,0.4368861577099409,13,30,12,27,1,22,8,0
Meta_Stories,Mylo_App,Video_15s,Problem_Solution,Sign_Up,Pregnant_Tri1,Hindi,0,1,0.1673,49.78,07,0.22102513935334583,0.1132231743951725,0.548039881273564,10,27,18,23,16,20,3,0
Meta_Stories,MamEarth,Reels_Remix,Doctor_Expert,Sign_Up,New_Mom_3_6m,Tamil,0,1,0.2386,62.41,07,0.18680607383859268,0.11680329391349527,0.48058007370619626,10,19,8,7,16,16,8,0
Google_Display,BabyChakra,Video_30s,Fear_Appeal,Swipe_Up,New_Mom_6_12m,Marathi,1,1,0.1476,51.71,07,0.14813131275859032,0.08979631971144877,0.3778780374504128,2,3,19,12,17,17,7,0
Google_Search,Mylo_LactoMama,Carousel,Comparison_Ad,Book_Free_Consult,Retargeting_App_Inactive,Kannada,0,1,0.133,30.56,07,0.2430401549765134,0.14111956539521192,0.4963691176111483,3,29,1,4,1,26,5,0
Google_Search,Mylo_App,Video_30s,Comparison_Ad,Get_Offer,Broad_Women_25_34,Hindi,0,1,0.1238,27.41,07,0.18670467495162582,0.09066084860594914,0.4666820545183985,3,27,19,4,7,1,3,0
Google_Display,PharmEasy_Baby,Video_30s,Comparison_Ad,Get_Offer,TTC,Hindi,0,1,0.1273,30.89,07,0.2235576487799774,0.1156790604317072,0.33484681575030595,2,36,19,4,7,29,3,0
Google_UAC,MamEarth,Static_Image,Fear_Appeal,Learn_More,TTC,Bengali,0,0,0.1636,28.08,07,0.12741137118376542,0.07301930155690874,0.4736468998469548,4,19,12,12,12,29,0,0
Google_UAC,MamEarth,Video_30s,Problem_Solution,Watch_More,TTC,Hinglish,1,1,0.4854,84.53,07,0.17594532165058321,0.11056458456451788,0.36333286374663554,4,19,19,23,19,29,4,0
Meta_Reels,Mylo_Ovaluna,Playable_Ad,Ingredient_Science,Get_Offer,Pregnant_Tri2,Hindi,0,1,0.5416,82.61,07,0.17124175511647918,0.12198915915158283,0.4580316304479318,9,30,7,17,7,21,3,0
